Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
GORAŽDE PLACE TO VISIT,https://i.ytimg.com/vi/RHEeKm81aDs/maxresdefault.jpg,,,"Dobrodošli u Goražde - grad nadahnuća, čuda i nevjerojatnih priča ! Goražde stoji kao simbol herojstva i snage istočne Bosne. Ovo magično mjesto obavijeno je bogatom historijom i nevjerojatnom ljepotom prirode koja ostavlja bez daha. Goražde nije samo grad poznat po industrijskim postignućima, već je ovdje svaki kamenčić prožet dušom koja priča priče generacija koje su prošle ovim ulicama. Kroz naše interaktivne StoryMapse, upoznat ćete se s time kako su inovacija i tradicija isprepletene u savršenu harmoniju.Turistički potencijal Goražda je neograničen - od seoskog turizma koji otkriva autentičnost lokalnog života do avanturističkih aktivnosti koje vas vode kroz netaknute prirodne oaze. Drina poziva na uživanje u njenom zagrljaju, dok njezini valovi privlače ljubitelje vodenih sportova i ribolova. Dopustite da vas naše StoryMaps vode na nevjerojatno putovanje kroz raznolikosti Goražda. Otkrijte skrivene kutke, divite se ljepotama i istražite tajne koje ovaj grad krije. Prepustite se avanturi koja će vam pružiti nezaboravne uspomene i inspiraciju za daljnje putovanje. Dobrodošli u Goražde - srce koje kuca s ljubavlju prema svojoj historiji i čarima koje nudi!",12,1,blue-dark,"Goražde, Bosnia and Herzegovina",43.668,18.9756,,,,
RIJEKA DRINA,https://youtube.com/embed/HX9t5zPMyBM?feature=share,Izvor: Turistička Zajednica BPK,,"Otkrijte  planinsku rijeku Drinu, koja vam pruža jedinstvenu priliku za nezaboravno iskustvo u Goraždu. Ova riječna ljepotica će vas očarati svojom grandioznošću i neodoljivim prirodnim okruženjem koje nudi. Nekoliko koraka uzvodno od Ustikoline, pa sve do Goražda, otkrit ćete mnoge oaze uživanja - prostrane plaže i idilična kupališta na kojima ćete u potpunom miru moći uživati u kristalno čistim vodama. Bilo da ste sami u potrazi za trenucima spokoja ili želite dijeliti ovo iskustvo s prijateljima, ovdje ćete pronaći savršen kutak za opuštanje. Goražde  grad s obalom Drine, donose vam neponovljivu priliku za uživanje u prirodi, upijanje svježeg zraka i osvježenje u njenim hladnim vodama. Ovdje, vrijeme se usporava, a svaki trenutak postaje dragocjen. Prihvatite pozivnicu i istražite čari najveće planinske rijeke na Balkanu. Drina vas čeka s njenim šarmantnim kupalištima i mirnim obalama, pružajući vam priliku za uživanje u bliskosti s prirodom. Svakim korakom, osjetit ćete energiju ove rijeke i iskustvo koje vas neće ostaviti ravnodušnim. Ponesite uspomene koje ćete čuvati zauvijek, dijeleći ih sa svojim najdražima. Goražde vas poziva da postanete dio ovog nevjerojatnog iskustva - jedinstvenog spoja prirode i avanture uz obale Drine. Dođite i prepustite se ovom prelijepom prirodnom okruženju koje vas osvježava, ispunjava pozitivnom energijom i ostavlja trag u vašem srcu.",18,2,green,,43.6648911,18.97071996,,,,
MOST ISPOD MOSTA,https://asfar.org.uk/wp-content/uploads/2020/08/Pogled_mosta-800x389.jpg,,,"Izgrađen ratne 1994. godine, ovaj nevjerojatni most omogućio je prelazak s jedne strane Drine na drugu, postajući živi spomenik hrabrosti i zajedništva u najtežim vremenima.Čim zakoračite na ovaj most, bit ćete očarani spojem ljepote prirode i majstorstva ljudske kreacije. Svaki korak donosi nova otkrića koja vas vode kroz dubine historije, prisjećajući se vremena kada je ovaj most bio simbol nade i snage. Ovaj remek-djelo inženjerstva skriva hiljade neispričanih priča, svjedočeći hrabrim djelima onih koji su ga sagradili i hrabrim putnicima koji su prelazili preko njega. Prošetajte njegovim žičanim konstrukcijama i dasakama koje je ""sklepao"" majstor svih zanata, Selver Sijerčić, omiljeni Goraždanin čije je djelo spašavalo na hiljade života. Ovdje, prošlost i sadašnjost prepliću se u nezaboravnu priču koja će vas oduševiti na prvi pogled. Svaki trenutak na ovom mostu postaje dio vaše lične priče, odajući počast hrabrosti i otporu agresiji koje je Goražde simboliziralo.
",18,3,orange-dark,"Goražde,Bosnia and Herzegovina",43.66603057,18.97385202,,,,
IZLETIŠTE ROROVI,https://gorazdeportal.com/wp-content/uploads/2017/10/ROROVI.jpg,,,"Ovo izletište predstavlja duboki simbol otpora grada Goražda tokom agresije koja je trajala od 1992. do 1995. godine. Dok istražujete ovo izvanredno mjesto, bit ćete svjedoci impresivnih primjera ratnih eksponata koji svjedoče hrabrosti i odlučnosti stanovnika Goražda tokom najtežih vremena. Tenkovi, topovi, protivavionsko oruđe i drugi ratni artefakti podsjetit će vas na vrijeme kada je ovaj grad bio simbol nade i otpora. Posebna karakteristika izletišta ""Rorovi"" je Spomen-kuća muzej komandanta Armije RBiH, Zaima Imamovića. Ovaj muzej posvećen je životu i djelu vojnog komandanta koji je igrao ključnu ulogu u obrani i otporu agresiji. Kroz izložene artefakte i prikazanu historiju, otkrit ćete bogatu baštinu i herojske čine koje su oblikovale sudbinu Goražda. Ovo izletište ne samo da oživljava prošlost, već predstavlja mjesto susreta i učenja o hrabrosti i solidarnosti koju su stanovnici ovog grada pokazali tokom teških vremena. Svaki kutak ""Rorova"" otkriva neizrecivu priču koja nadahnjuje i daje snagu.
",18,4,purple,"Goražde, Bosnia and Herzegovina",43.67479569,18.97388358,,,,
RUDA GLAVA,https://bhglas.dk/wp-content/uploads/2021/05/FNA_140843-768x576-1.jpg,,,"Sportsko-rekreativni centar ""Ruda Glava"" je smješten na obroncima predivne Jahorine, na impresivnih 1450 metara nadmorske visine. Ovo očaravajuće planinsko odmaralište pruža nevjerojatno iskustvo za sve zaljubljenike u prirodu i zimske sportove.

Jedna od posebnih atrakcija ovog centra je planinski masiv Ruda Glava, koji svojom ljepotom i veličanstvenošću oduzima dah. Na ovom lokalitetu, čeka vas planinski dom  sa raširenim rukama. Svi ljubitelji planinarenja, bez obzira da li dolazite iz susjednih krajeva ili iz udaljenih zemalja, nalaze svoj kutak u ovom planinraskom domu. Kapacitet planinarskog doma od oko 100 ležajeva, uz centralno grijanje, pruža vam topli i ugodan boravak, a ujedno vam omogućuje da se u potpunosti opustite i uživate u ljepotama ovog planinskog raja.

Sportsko-rekreativni centar ""Ruda Glava"" privlači brojna planinska društva, entuzijaste prirode i avanturiste iz cijelog regiona. Svake godine, ljudi dolaze da uživaju u nezaboravnoj prirodi koja nas okružuje i osjeti duh istinskog pustolovstva.

Ukoliko želite pobjeći od užurbanosti svakodnevnog života i uroniti u netaknutu prirodu, Sportsko-rekreativni centar ""Ruda Glava"" je pravo mjesto za vas. Dođite i iskusite nezaboravne trenutke, bez obzira na godišnje doba. ",18,5,green,,43.6687115,18.73019176,,,,
,https://img2.oastatic.com/img2/61083883/max/t.jpg,,,"
",18,,orange-dark,,43.6687115,18.73019176,,,,
MEMORIJALNA ŠUMA 8.372,https://www.youtube.com/embed/GqgLOGdhsQs,Izvor: www.helifilm.ba,Source: http://www.helifilm.ba/,"Izletište ""Memorijalne šume 8.372"" u mjestu Posestra kod Goražda predstavlja pravu oazu za sve zaljubljenike u prirodu i historiju. Ovaj kompleks je obogaćen novim sadržajima, uključujući informativno-edukativnu kuću, dječije igralište, botaničku baštu, vještačko jezero i vidikovac, čime je postao idealna destinacija za cjelodnevni izlet, posebno u toplim ljetnim danima.
Izuzetno važan ekološki projekat, ""Memorijalna šuma 8.372"" pretvara prostor koji je godinama bio zapostavljen u popularno izletište i mjesto koje očarava svojom prirodnom ljepotom. Projekat obnove i uređenja kompleksa posebno je značajan u periodu kada je važno sačuvati svaki pojedinačni bor kako bi obnovili devastirane šume. Također, kompleks nudi izuzetnu priliku za opuštanje i rekreaciju u okruženju koje odiše mirom i svježim zrakom.

 
Jedan od najupečatljivijih dijelova Memorijalne šume je predivna botanička bašta. Sa svojih 3.000 kvadratnih metara, ova bašta oduzima dah s preko 300 sadnica raznih vrsta drveća. Svaka sadnica nosi svoj naziv, latinski i lokalni, te predstavlja dragocjeni dio prirodne baštine. Uz staze koje vode do svake pojedinačne vrste drveća, posjetitelji imaju priliku naučiti više o svakoj biljci i njenom porijeklu.
Vještačko jezero dodatno upotpunjuje ovaj rajski ambijent i pruža osvježenje u toplim ljetnim danima. Ovo sveobuhvatno izletište ima nešto za svakoga: prostrane šadrvane, vidikovac s kojeg se pruža nezaboravan pogled na okolinu te prostore za roštilj koji su omiljeno mjesto okupljanja. Memorijalna šuma 8.372 poziva vas da se prepustite čarima prirode i povijesti. Ovdje možete pobjeći od svakodnevnog stresa, opustiti se i ponovno se povezati s prirodom. Iskoristite priliku za otkrivanje ljepote koja nas okružuje i postanite dio priče koju ova šuma nudi. Dobrodošli u ovaj nezaboravan kompleks, gdje svaki trenutak nosi jedinstvenu čaroliju prirode i ljepote našeg nasljeđa.

",16,6,red,,43.63285605,18.9038819,,,,
IZLETIŠTE GUBAVAC,https://youtube.com/embed/i4VCURGiToU?feature=share,,,"Mjesto savršeno za opuštanje i rekreaciju svih uzrasta. Uživajte u prekrasnom pogledu na grad i rijeku Drinu, dok vas priroda obavija svojom čarobnom ljepotom. Ovo je kutak gdje se srce smiruje, a duša pronalazi mir.",18,7,blue,"Goražde, Bosnia and Herzegovina",43.66819872,18.97155513,,,,
SPOMENIK DRINSKIM MUČENICAMA-CRKVA,https://www.ktabkbih.net/upload/image/Foto_Vijesti/2011/18_2011/spomen_ploca/16.jpg,,,"Crkva posvećena blaženim Drinskim mučenicama - mjesto koje simbolizira hrabrost i poštovanje prema časnim sestrama koje su stradale na obali rijeke Drine 1941. godine. Radnja izgradnje ove crkve započela je 2021. godine, što čini ovo značajno zdanje od velike važnosti za Vrhbosansku nadbiskupiju i katoličku zajednicu. Ovo posebno mjesto ima duboko ukorijenjeno značenje jer je prva crkva koja se gradi na ovim prostorima nakon 140 godina. Spomenik Drinskim mučenicama smješten na samoj obali rijeke Drine slavi hrabrost i žrtvu nevino stradalih časnih sestara koje su nepravedno izgubile život za vrijeme Drugog svjetskog rata. Spomen obilježje privlači hodočasnike, poštovaoce i mnogobrojne vjernike koji dolaze kako bi odali počast i odahnuli u ovoj oazi duhovnosti. Mjesto koje nas podsjeća na hrabrost i snagu duha, a istovremeno pruža utočište mira i kontemplacije.
",18,8,violet,"Goražde, Bosnia and Herzegovina",43.66972882,18.97573591,,,,
ZAVIČAJNI MUZEJ U GORAŽDU,https://drive.google.com/file/d/1Ly_qqVybWl3Xcvf1QfvXXz0aHGQLGQXE/view?usp=drive_link,,,"Zavičajni muzej Goražda - ""Ratna izložba"" je otvoren 2016. godine. Ovdje ćete otkriti jedinstvenu priču Goražda i njegovih stanovnika tokom razdoblja od '92. do '95. godine. Kroz lične predmete Goraždana, oživjet će se priča o opstanku i borbi za život, kreativnosti, inovativnosti i nepokolebljivom duhu grada pod opsadom. Naš cilj je postati moderna muzejska institucija temeljena na bogatoj materijalnoj i nematerijalnoj kulturnoj baštini, kao i na prezentaciji savremenog kulturnog naslijeđa. Muzej je mjesto koje svjedoči hrabrosti i snazi Goraždana, ali i njihovoj sposobnosti da izraze svoju kulturu i identitet čak i u najtežim vremenima. Ovdje ćete naići na izložbu koja vas vodi na putovanje kroz prošlost i daje vam uvid u srce i dušu ovog nevjerojatnog grada. Pridružite nam se kako bismo zajedno čuvali i prenosili priče koje su oblikovale Goražde, te istraživali bogatstvo kulture koja nas inspiriše i povezuje.
",18,9,yellow,"Goražde, Bosnia and Herzegovina",43.66565909,18.97411108,,,,
